Level                 Number of Fractions          (3n^2)/pi^2
1                                       2                0.304
2                                       3                1.216
3                                       5                2.736
4                                       7                4.863
5                                      11                7.599
6                                      13               10.943
7                                      19               14.894
8                                      23               19.454
9                                      29               24.621
10                                     33               30.396
11                                     43               36.780
12                                     47               43.771
13                                     59               51.370
14                                     65               59.577
15                                     73               68.392
16                                     81               77.815
17                                     97               87.845
18                                    103               98.484
19                                    121              109.731
20                                    129              121.585
21                                    141              134.048
22                                    151              147.118
23                                    173              160.797
24                                    181              175.083
25                                    201              189.977
26                                    213              205.479
27                                    231              221.589
28                                    243              238.307
29                                    271              255.633
30                                    279              273.567
31                                    309              292.109
32                                    325              311.259
33                                    345              331.016
34                                    361              351.382
35                                    385              372.355
36                                    397              393.937
37                                    433              416.126
38                                    451              438.923
39                                    475              462.329
40                                    491              486.342
41                                    531              510.963
42                                    543              536.192
43                                    585              562.029
44                                    605              588.473
45                                    629              615.526
46                                    651              643.187
47                                    697              671.455
48                                    713              700.332
49                                    755              729.816
50                                    775              759.909
51                                    807              790.609
52                                    831              821.917
53                                    883              853.834
54                                    901              886.358
55                                    941              919.490
56                                    965              953.230
57                                   1001              987.578
58                                   1029             1022.533
59                                   1087             1058.097
60                                   1103             1094.269
61                                   1163             1131.048
62                                   1193             1168.436
63                                   1229             1206.431
64                                   1261             1245.035
65                                   1309             1284.246
66                                   1329             1324.065
67                                   1395             1364.492
68                                   1427             1405.527
69                                   1471             1447.170
70                                   1495             1489.421
71                                   1565             1532.280
72                                   1589             1575.747
73                                   1661             1619.822
74                                   1697             1664.504
75                                   1737             1709.795
76                                   1773             1755.693
77                                   1833             1802.200
78                                   1857             1849.314
79                                   1935             1897.037
80                                   1967             1945.367
81                                   2021             1994.305
82                                   2061             2043.851
83                                   2143             2094.005
84                                   2167             2144.767
85                                   2231             2196.137
86                                   2273             2248.114
87                                   2329             2300.700
88                                   2369             2353.894
89                                   2457             2407.695
90                                   2481             2462.105
91                                   2553             2517.122
92                                   2597             2572.747
93                                   2657             2628.981
94                                   2703             2685.822
95                                   2775             2743.271
96                                   2807             2801.328
97                                   2903             2859.993
98                                   2945             2919.266
99                                   3005             2979.147
100                                  3045             3039.636
101                                  3145             3100.732
102                                  3177             3162.437
103                                  3279             3224.749
104                                  3327             3287.670
105                                  3375             3351.198
106                                  3427             3415.334
107                                  3533             3480.079
108                                  3569             3545.431
109                                  3677             3611.391
110                                  3717             3677.959
111                                  3789             3745.135
112                                  3837             3812.919
113                                  3949             3881.311
114                                  3985             3950.310
115                                  4073             4019.918
116                                  4129             4090.134
117                                  4201             4160.957
118                                  4259             4232.388
119                                  4355             4304.428
120                                  4387             4377.075
121                                  4497             4450.330
122                                  4557             4524.193
123                                  4637             4598.665
124                                  4697             4673.744
125                                  4797             4749.430
126                                  4833             4825.725
127                                  4959             4902.628
128                                  5023             4980.139
129                                  5107             5058.257
130                                  5155             5136.984
131                                  5285             5216.318
132                                  5325             5296.261
133                                  5433             5376.811
134                                  5499             5457.970
135                                  5571             5539.736
136                                  5635             5622.110
137                                  5771             5705.092
138                                  5815             5788.682
139                                  5953             5872.880
140                                  6001             5957.686
141                                  6093             6043.099
142                                  6163             6129.121
143                                  6283             6215.751
144                                  6331             6302.988
145                                  6443             6390.834
146                                  6515             6479.287
147                                  6599             6568.348
148                                  6671             6658.018
149                                  6819             6748.295
150                                  6859             6839.180
151                                  7009             6930.673
152                                  7081             7022.774
153                                  7177             7115.483
154                                  7237             7208.800
155                                  7357             7302.724
156                                  7405             7397.257
157                                  7561             7492.398
158                                  7639             7588.146
159                                  7743             7684.503
160                                  7807             7781.467
161                                  7939             7879.039
162                                  7993             7977.219
163                                  8155             8076.008
164                                  8235             8175.404
165                                  8315             8275.408
166                                  8397             8376.020
167                                  8563             8477.239
168                                  8611             8579.067
169                                  8767             8681.503
170                                  8831             8784.547
171                                  8939             8888.198
172                                  9023             8992.458
173                                  9195             9097.325
174                                  9251             9202.800
175                                  9371             9308.884
176                                  9451             9415.575
